Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Number of Ratings,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store
Electronics Devices,https://www.daraz.com.bd/smartphones/,Infinix Smart 8(4/128GB),11499,10944,5,Infinix BD,45,90,100,0,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Infinix Smart 7 (3/64GB),9499,8800,7,Infinix BD,257,90,100,0,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Realme C53 (6/128) Smart Phones,16999,16678,2,Realme (Bangladesh),161,93,100,79,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Realme C51 (4/64GB),13999,13728,2,Realme (Bangladesh),45,93,100,79,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Infinix NOTE 30 - 128+8 GB,18999,18270,4,Infinix BD,128,90,100,0,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Symphony Z60 Plus ( 6 GB/ 128 GB),11999,11571,4,SYMPHONY,72,88,100,94,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Realme C55 - (6GB/128GB),20999,19659,6,Realme (Bangladesh),128,93,100,79,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,"Symphony ATOM II Smartphone- 2GB RAM, 32GB ROM",8590,6463,25,SYMPHONY,36,88,100,94,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Redmi 12C(6/128GB),13999,13718,2,Xiaomi.,88,89,100,0,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Redmi A2+ (4/64 GB),10999,10778,2,Xiaomi.,12,89,100,0,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Redmi Note 12 (8/256Gb) Smart Phones,24999,24495,2,Xiaomi.,9,89,100,0,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Symphony i73 Smartphone,5999,5786,4,SYMPHONY,58,88,100,94,Free Delivery,Cash on Delivery Available,Yes
Electronics Devices,https://www.daraz.com.bd/smartphones/,Realme C30-2GB RAM/32GB Rom Mobile Smartphone,10999,9747,11,Realme (Bangladesh),68,93,100,79,Free Delivery,Cash on Delivery Available,Yes
