Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Number of Ratings,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store
Health & Beauty,https://www.daraz.com.bd/skincare-beauty/?service=OS&from=filter,(11 Taka Deal) Meril Petroleum Jelly With Pure Aloe Vera Extract,80,11,86,SQUARE Toiletries Ltd,370,89,100,96,Standard Delivery,Daraz Verified,No
Health & Beauty,https://www.daraz.com.bd/skincare-beauty/?service=OS&from=filter,Vaseline Petroleum Jelly 50ml,65,61,6,Unilever,835,89,100,96,Standard Delivery,Cash on Delivery Available,No
Health & Beauty,https://www.daraz.com.bd/skincare-beauty/?service=OS&from=filter,Pond's Face Wash Bright Beauty 100g,220,135,39,Unilever,2454,89,100,96,Standard Delivery,Cash on Delivery Available,No
Health & Beauty,https://www.daraz.com.bd/skincare-beauty/?service=OS&from=filter,LAIKOU Vitamin C Serum Brightening Antioxidant Remove Spots -17 ml,350,160,54,OGERIO,1054,91,0,99,Free Delivery,Cash on Delivery Available,Yes
Health & Beauty,https://www.daraz.com.bd/skincare-beauty/?service=OS&from=filter,Vaseline Lip Therapy Rossy Lip - 20g,350,290,17,Well-being Distribution Ltd.,314,89,0,99,Free Delivery,Cash on Delivery Available,Yes
Health & Beauty,https://www.daraz.com.bd/skincare-beauty/?service=OS&from=filter,Meril Petroleum Jelly - 50 ml,65,55,15,SQUARE Toiletries Ltd,265,89,100,96,Standard Delivery,Cash on Delivery Available,No
Health & Beauty,https://www.daraz.com.bd/skincare-beauty/?service=OS&from=filter,LAIKOU skin care product Japan Sakura Cleanser Face Wash - 50g,500,179,64,OGERIO,1086,91,0,99,Free Delivery,Cash on Delivery Available,Yes
Health & Beauty,https://www.daraz.com.bd/skincare-beauty/?service=OS&from=filter,Meril Petroleum Jelly - 100 ml,110,93,15,SQUARE Toiletries Ltd,319,89,100,96,Standard Delivery,Cash on Delivery Available,No
Health & Beauty,https://www.daraz.com.bd/skincare-beauty/?service=OS&from=filter,"SCRU Cream Lips Scrub, 11.5g",550,123,78,Cosmoline BD,85,81,0,85,Free Delivery,Cash on Delivery Available,Yes
Health & Beauty,https://www.daraz.com.bd/skincare-beauty/?service=OS&from=filter,Meril Lip Balm (Strawberry) - 4.8gm,50,42,16,SQUARE Toiletries Ltd,293,89,100,96,Standard Delivery,Cash on Delivery Available,No
