Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Number of Ratings,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Haier 43"" FHD Smart Google TV (H43K800FX) with Free Bongo Subscription",42900,29900,30,Haier,95,89,0,92,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,DEIL 32 Inch WIFI-Smart 4K Android LED Television - A Grade Quality (2GB RAM - 16GB ROM),22000,13200,40,H.Rahman & Co,421,89,0,99,Free Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Haier H43P7UX 43 Inch 4K UHD Google TV,52900,36500,31,TV Hut And Electronics,10,94,0,97,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Haier 32"" Android 11 HD Smart LED TV (H32K66GH) with Free Bongo Subscription",28900,19900,31,Haier,335,89,0,92,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Sony Plus 32'' 4K Supported Android Smart Television Wi-Fi Hd Led TV 4K Supported RAM 2GB ROM 16GB,19900,12730,36,TOP TEN BD,764,87,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Haier (H43P7UX) 43"" HQLED Smart Google TV with Free Bongo Subscription",52900,40900,23,Haier,6,89,0,92,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Mango 32"" Smart TV Google Authorized Android 11 Bezel-Less HD Smart TV (MG32FG1)",29900,19799,34,MANGO Electronics,82,85,0,99,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Mango 55"" 4k Smart TV Google Authorized Android 11 Bezel-Less FHD Smart TV (MG55FG1)",92900,63999,31,Heng Yuan International,76,90,0,99,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Mango 43"" Smart TV Google Authorized Android 11 Bezel-Less FHD Smart TV (MG43FG1)",43990,28999,34,Heng Yuan International,66,90,0,99,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,High Performance DEIL 32 Inch HD LED TV with 3D Comb Filter FULL HD 4K Supported Television (1366x768 Resolution) - (Black),16000,10700,33,H.Rahman & Co,191,89,0,99,Free Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Mango 43"" Smart TV Google Authorized Android 11 Bezel-Less FHD Smart TV (MG43FG1)",43990,29799,32,MANGO Electronics,65,85,0,99,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Candy by Haier 32 Android Smart LED TV (C32K6G),26900,17900,33,Haier,4,89,0,92,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Sony Plus 43 Inch Android Smart 4k Supported WIFI HD LED TV - 2GB Ram/16GB Rom,39900,25900,35,TOP TEN BD,99,87,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Haier (H32D2M) 32"" HD Ready Miracast LED TV",20900,15900,24,Haier,109,89,0,92,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Samsung High-Performance Samsung 43BU8000 43 Inch Crystal UHD 4K Smart TV,70900,47990,32,TV Hut And Electronics,19,94,0,97,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Haier H32D2M 32 Inch Miracast HD Non-Smart LED Television,20900,13925,33,TV Hut And Electronics,11,94,0,97,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Haier H32K66GH 32 Inch Bezel Less HD Android Smart LED Television,27900,18990,32,TV Hut And Electronics,9,94,0,97,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,AZWA 24 INCH SLIM LED TV,10490,7800,26,H.Rahman & Co,28,89,0,99,Free Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Rowa 43U62 43 Inch 4K Android Google Smart TV,49900,33989,32,New Udoy Electronics,3,91,0,95,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"32 INCH Smart Android LED TV - 2GB RAM, 16GB ROM. VERSION 11",18000,12600,30,H.Rahman & Co,22,89,0,99,Free Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,MME 32 Inch TV 2GB Ram Voice Control/ Non-Voice Smart TV 1080p FHD Android TV,25700,13998,46,Heng Yuan International,144,90,0,99,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Haier 32"" HD Ready Miracast LED TV (H32D2M) 2 x 8W Speaker Monitor offers a Display Resolution of 1366 x 768",19900,13925,30,DRM,20,84,0,78,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,Craft Brand 32 inch 4k LED Smart TV - 2GB RAM/6 GB ROM,18990,12372,35,TailorCraft,317,88,0,84,Free Delivery,Cash on Delivery Available,No
TV & Home Appliances,https://www.daraz.com.bd/televisions/,SONY PLUS 43 inch Android Smart Wifi HD LED TV 4K Supported RAM 2 GB ROM 16 GB,29890,20900,30,TOP TEN BD,12,87,0,100,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,KuGou 32 inch Full HD Frameless Android TV - 2GB Ram 16GB Rom,23500,13600,42,Heng Yuan International,88,90,0,99,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,"Samsung N4010 32"" HD LED TV - Black",24000,15900,34,DRM,19,84,0,78,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,KuGou HD Android Miracast 32 Inch Smart TV - 1GB RAM 8GB ROM,20900,11207,46,Heng Yuan International,98,90,0,99,Free Delivery,Cash on Delivery Available,Yes
TV & Home Appliances,https://www.daraz.com.bd/televisions/,ROWA 43U62 43 Inch 4K Android Smart Google TV Ultra HD 3840 x 2160 Pixels Resolution Television,51900,36832,29,TV Hut And Electronics,5,94,0,97,Free Delivery,Cash on Delivery Available,Yes
