Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Number of Ratings,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store
Electronic Accessories,https://www.daraz.com.bd/audio/,QKZ DM10 Zinc Alloy HiFi Earphone In Ear Earphone,625,299,52,Time Square,4208,85,0,79,Standard Delivery,Cash on Delivery Available,Yes
Electronic Accessories,https://www.daraz.com.bd/audio/,"Uiisii HM 12 Super Bass Stereo In-Ear Earphone with Pouch - Immerse in Audiophile Sound Quality On-The-Go, and Keep it Handy",520,229,56,Subaita Dreamland,579,82,0,98,Free Delivery,Cash on Delivery Available,No
Electronic Accessories,https://www.daraz.com.bd/audio/,Uiisii C100 Super Bass Stereo In Ear Headphone - Black,424,199,53,Time Square,2714,85,0,79,Standard Delivery,Cash on Delivery Available,Yes
Electronic Accessories,https://www.daraz.com.bd/audio/,Orignal Creative High Bass Audio Earphone with Pouch EP-530 - Black,299,125,58,Rimjhim Shop,627,81,0,92,Free Delivery,Cash on Delivery Available,No
Electronic Accessories,https://www.daraz.com.bd/audio/,Vivo In Year Yearphone is the best sound quality-white with free one - Emphasizing Value,270,99,63,Prima Store,374,84,0,96,Free Delivery,Cash on Delivery Available,No
Electronic Accessories,https://www.daraz.com.bd/audio/,DM10 QKZ DM10 Zinc Alloy HiFi In Ear Earphones QKZ DM10 3.5mm Wired In-Ear Earphone,690,205,70,G For Gadgets,1378,80,0,88,Free Delivery,Cash on Delivery Available,No
Electronic Accessories,https://www.daraz.com.bd/audio/,QKZ DM7 Zinc Alloy In Ear HiFi Earphone Stereo Bass Headset,1025,390,62,Time Square,1508,85,0,79,Standard Delivery,Cash on Delivery Available,Yes
Electronic Accessories,https://www.daraz.com.bd/audio/,QKZ DM10 Zinc Alloy HiFi Earphones,690,294,57,Gadgets Lab,5429,85,0,77,Free Delivery,Cash on Delivery Available,No
Electronic Accessories,https://www.daraz.com.bd/audio/,REMAX RM-510 High Performance Earphones REMAX RM 510 Wired Earphone Remax RM 510 Wired In-ear Stereo Music Headset with Mic wire control function,599,206,66,G For Gadgets,583,80,0,88,Free Delivery,Cash on Delivery Available,No
Electronic Accessories,https://www.daraz.com.bd/audio/,UIISII C100 In-ear Wired Heavy Bass Earphones with MIC - Ear Phone - Headphone,250,161,36,Trendy Tech,111,79,0,71,Standard Delivery,Cash on Delivery Available,Yes
Electronic Accessories,https://www.daraz.com.bd/audio/,High Quality Hd Eo-Ig955 Headset In-Ear Earphone - Headphone,150,69,54,Prince Fashon-BD,829,82,0,98,Free Delivery,Cash on Delivery Available,No
Electronic Accessories,https://www.daraz.com.bd/audio/,Wire Control Headset for Smartphone 3.5mm In-ear Wired Microphone Volume Control Headset Earphone - Headphone,280,95,66,Meghla Shop,227,84,0,95,Free Delivery,Cash on Delivery Available,No
Electronic Accessories,https://www.daraz.com.bd/audio/,oraimo OEP-E21P Halo Half-in-Ear Wired Earphones with Remote Control & Mic,339,214,37,ORAIMO,155,84,100,80,Free Delivery,Cash on Delivery Available,No
Electronic Accessories,https://www.daraz.com.bd/audio/,High Quality HD EO-IG955 Headset In-Ear Earphone,300,97,68,Smart Gadgets-BD,83,76,0,99,Free Delivery,Cash on Delivery Available,No
Electronic Accessories,https://www.daraz.com.bd/audio/,Remax Rm-510 High Performance Earphones - Headphone,500,184,63,GADGET corner,48,81,0,86,Free Delivery,Cash on Delivery Available,No
Electronic Accessories,https://www.daraz.com.bd/audio/,KZ EDX Pro Hi-Fi bass Dual Magnetic Dynamic Earbuds with Mic,1175,740,37,Time Square,286,85,0,79,Standard Delivery,Cash on Delivery Available,Yes
Electronic Accessories,https://www.daraz.com.bd/audio/,QKZ DM10 Zinc Alloy HiFi Earphone In Ear Earphones,700,181,74,GADGET corner,197,81,0,86,Free Delivery,Cash on Delivery Available,No
