Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store,Number of Ratings
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Diamond potato 1kg ± 25 gm,55,29,47.0,Daraz Fresh,89,100,96,Standard Delivery,Cash on Delivery Available,No,11914
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Diamond potato 1kg ± 25 gm (CTG),55,29,47.0,Daraz Fresh,89,100,96,Standard Delivery,100% Authentic from Trusted Brand,No,1133
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Zahidi Dates - 1 kg Good Food Good Quality,400,274,32.0,2h corporation,84,0,95,Free Delivery,Cash on Delivery Available,No,334
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Fuji Apple 2pcs,99,95,4.0,Daraz Fresh,89,100,96,Standard Delivery,Cash on Delivery Available,No,20
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Wood Apple (Kodbel) 1pc,65,55,15.0,Daraz Fresh,89,100,96,Standard Delivery,Cash on Delivery Available,No,34
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Multicell Garlic (Roshun) 500 gm (± 25 gm)(CTG),114,114,0.0,Daraz Fresh,89,100,96,Standard Delivery,100% Authentic from Trusted Brand,No,51
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Green Coconut (Daab) 1pc,149,129,13.0,Daraz Fresh,89,100,96,Standard Delivery,Cash on Delivery Available,No,53
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Dates Kalmi 500Gm Box,555,555,0.0,Daraz Fresh,89,100,96,Standard Delivery,Cash on Delivery Available,No,4
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Dates Sukkari 500Gm Packed,554,554,0.0,Daraz Fresh,89,100,96,Standard Delivery,Cash on Delivery Available,No,11
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Dry Pineapple 200g (Thailand),299,239,20.0,Daraz Fresh,89,100,96,Standard Delivery,Cash on Delivery Available,No,1
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Dry Red Apricot 200g (Thailand),299,239,20.0,Daraz Fresh,89,100,96,Standard Delivery,Cash on Delivery Available,No,4
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Local Garlic (Roshun) 500 gm (± 25 gm)(CTG),130,130,0.0,Daraz Fresh,89,100,96,Standard Delivery,100% Authentic from Trusted Brand,No,46
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Dry Mango Sour 200g (Thailand),299,239,20.0,Daraz Fresh,89,100,96,Standard Delivery,Cash on Delivery Available,No,2
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Dry Cherry Tomato 200g (Thailand),299,239,20.0,Daraz Fresh,89,100,96,Standard Delivery,Cash on Delivery Available,No,3
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Dry Plum 200g (Thailand),299,239,20.0,Daraz Fresh,89,100,96,Standard Delivery,Cash on Delivery Available,No,3
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Zahidi Dates - 1 kg Good Food Good Quality,500,279,44.0,2h corporation,84,0,95,Free Delivery,Cash on Delivery Available,No,0
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Dry Pomelo 200g (Thailand),299,239,20.0,Daraz Fresh,89,100,96,Standard Delivery,Cash on Delivery Available,No,0
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Dates Amber 500Gm Packed,802,802,0.0,Daraz Fresh,89,100,96,Standard Delivery,Cash on Delivery Available,No,0
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Dates Medjul 500Gm Box,992,992,0.0,Daraz Fresh,89,100,96,Standard Delivery,Cash on Delivery Available,No,2
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Dry Papaya 200g (Thailand),299,239,20.0,Daraz Fresh,89,100,96,Standard Delivery,Cash on Delivery Available,No,1
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Dry Rock Melon 200g (Thailand),299,239,20.0,Daraz Fresh,89,100,96,Standard Delivery,Cash on Delivery Available,No,2
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Dry Mango Sweet 200g (Thailand),299,239,20.0,Daraz Fresh,89,100,96,Standard Delivery,Cash on Delivery Available,No,5
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,স্মার্ট সাকশন প্যাড বেস সহ ছুরি শার্পনার - knife sharpener,288,144,50.0,Trusted Multistore Shop,0,0,100,Free Delivery,Cash on Delivery Available,No,0
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Amber Dates from Madina Saudi Arabia - Premium Quality and King - sized Delights - Premium choice for date connoisseurs,2700,1087,60.0,Press To Buy,83,0,100,Standard Delivery,Cash on Delivery Available,No,0
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Dry Coconut (Narikel) 1 pc-(CTG),144,144,0.0,Daraz Fresh,89,100,96,Standard Delivery,100% Authentic from Trusted Brand,No,0
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,100% Fresh Imported Ajwa Dates of Saudi Arabia,950,950,0.0,EverCare,0,100,0,Free Delivery,Cash on Delivery Available,No,0
Groceries,https://www.daraz.com.bd/groceries-fresh-produce/,Dates Medjul 1Kg Box,1983,1983,0.0,Daraz Fresh,89,100,96,Standard Delivery,Cash on Delivery Available,No,4
