Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store,Number of Ratings
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Preimum Quality Winter Hoodie For Men,599,429,28.0,Ahmed Trading International 2,83,0,87,Free Delivery,Cash on Delivery Available,No,1475
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Stylist Winter Hoddie For Men,750,369,51.0,Shokher Bazar Gaz,75,0,98,Free Delivery,Cash on Delivery Available,No,147
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,New Winter Jacket For Men - Jacket For Men,1400,395,72.0,Colorful Fashion,79,0,97,Free Delivery,Cash on Delivery Available,No,0
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Black Hoodie Jacket For Men,1000,330,67.0,Top Gelary Fashion293,89,0,71,Standard Delivery,Cash on Delivery Available,No,773
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Green hoodie jaket for men,599,349,42.0,Colors Bangladesh,0,0,97,Standard Delivery,Cash on Delivery Available,No,157
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,New Stylish Cotton Polo,750,182,76.0,Brother Fashion,83,0,96,Free Delivery,Cash on Delivery Available,No,1685
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Bangladesh World Cup Polo lake blue Cricket jersey for Man By Rks Fashion bd 2023e,450,197,56.0,RKS Mega Mall,72,0,99,Free Delivery,Cash on Delivery Available,No,86
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Black Zipper Cotton Hoodie For Men,1000,380,62.0,Top Gelary Fashion293,89,0,71,Standard Delivery,Cash on Delivery Available,No,139
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,New Styile Winter Comfortable Hodi for Man,850,387,54.0,BD Shirt Bazar,81,0,99,Free Delivery,Cash on Delivery Available,No,343
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Stylish Premium Winter Jacket For Men - White and Navy,799,399,50.0,Dhaka Fashion Wear,83,0,84,Free Delivery,Cash on Delivery Available,No,867
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Stylish Premium Winter Hoodie For Men/ Winter Hoodie Collection,599,299,50.0,Jihadi Fashion,80,0,38,Free Delivery,Cash on Delivery Available,No,54
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Men`s Winter Cotton White Long Sleeve Hoodie For Man,885,410,54.0,A K P Fashion,86,0,99,Standard Delivery,Cash on Delivery Available,No,1154
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Premium Cotton Casual Polo T-shirt for Men - Polo T Shirt,450,219,51.0,Dhaka Fashion Wear,83,0,84,Free Delivery,Cash on Delivery Available,No,269
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,(11 Taka Deal) Stylist premium Quality Summer Polo Shirt For Men - Polo T Shirt,399,394,1.0,Classic Pose,80,0,99,Free Delivery,This item is non-returnable,No,17
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,(11 Taka Deal) Stylist Premium Quality Summer Polo Shirt For Men - Polo T Shirt,249,247,0.8,Classic Pose,80,0,99,Free Delivery,This item is non-returnable,No,15
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Bangladesh World Cup Polo Cricket jersey for Man By Rks Fashion bd 2023,450,197,56.0,RKS Mega Mall,72,0,99,Free Delivery,Cash on Delivery Available,No,41
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,SMUG Exclusive Polo Shirt - Fabric soft and comfortable,700,309,56.0,SMUG.,86,0,99,Free Delivery,Cash on Delivery Available,Yes,518
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Men's Chino Good Quality Gabardine Pant,490,468,4.0,Export Hut 1633854436,89,0,95,Free Delivery,Cash on Delivery Available,No,77
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Multi Colour Short Pants for Men,150,102,32.0,SHOPPING EXPRESS BD 1604845983,87,0,95,Free Delivery,Cash on Delivery Available,No,328
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,OTAM Muscle Tops Sleeveless Hoodie for Men – Megi/Maggi Hata Hudi for Boys - Jacket - Vest - Hoodies & Sweatshirts - Black,450,192,57.0,OTAM,78,0,100,Free Delivery,Cash on Delivery Available,No,27
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Winter Premium Exclusive Hoodie For Men,699,479,31.0,Ahmed Trading International 2,83,0,87,Free Delivery,Cash on Delivery Available,No,62
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Stylish Premium Winter Hoodie For Men,1200,550,54.0,Bd Fashion World Shop,76,0,99,Free Delivery,Cash on Delivery Available,No,35
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Stylish Premium Winter Hoodie For Men/ Winter Hoodie Collection,599,299,50.0,Jihadi Fashion,80,0,38,Free Delivery,Cash on Delivery Available,No,54
Men's & Boys' Fashion,https://www.daraz.com.bd/mens-clothing/,Premium Quality Polo Shirt for Men - Polo T Shirt,300,257,14.0,Ahmed Trading International 2,83,0,87,Free Delivery,Cash on Delivery Available,No,1734
