Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Number of Ratings,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Yoga mat 6mm,750,540,28,Citizen Sports,155,82,0,68,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,E-Co Friendly Quality Gym Yoga Mats-8MM,850,699,18,Sports House,100,82,0,99,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Yoga Mat 6mm - Blue,1350,699,48,Sports House,842,82,0,99,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Yoga Mat 8mm 3 Feet*6 Feet - Blue color,1250,949,24,Sports House,286,82,0,99,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Yoga Fitness Resistance Band Heavy Duty Exercise Elastic Band Fitness Equipment For Sport Strength Pull Up,380,199,48,Huilopker,22,85,100,99,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Back Posture Corrector Shoulder Lumbar Brace Spine Support Belt Adjustable Adult Corset Posture Correction Belt,850,345,59,Top Cart,20,0,0,97,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,YOGA MAT 2'/6' Tp Rubber 8mm Pati - Fitness Mart,750,697,7,FITNESS MART,18,79,0,90,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Body Posture Corrector Belt - Shoulder Support Relief and Back Pain Relief Belt - Adjustable Posture Support Brace for Men and Women,400,250,38,Top Happy Shopping,5,84,0,97,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Mulicolor Yoga Mat For Yoga - 6 mm,1250,699,44,Sports House,1184,82,0,99,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,100% Silicon Oil For Electric Treadmill / Manual Treadmill/ Cross Trainer / Spinning Bike / GYM Equipment ( 150 ml ) TreadX Brand - Gym Equipment,1200,311,74,Royal Accessories,8,86,0,100,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,MeterMall Premium Yoga Blocks Lightweight Non-slip Eva Foam Blocks Yoga Accessories Training Exercise Fitness Tools,420,279,34,MeterMall,2,72,100,66,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Fitness High Density Foam Roller Exercise Back Muscle 13 Inch,1100,734,33,Fair Sports and Fitness,104,90,0,41,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,3 Feet Wide 6 Feet Long (8mm) Yoga Mat Fitness & Exercise Mat with Carrying Strap Yoga Mats,1700,1081,36,New Champion Sports.,41,87,0,92,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Multicolor Yoga Exercise Mat - 8Mm,1790,687,62,Brother's Hardware,615,88,0,98,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Back Massager Stretcher Equipment Massage Tools Massageador Magic Stretch Fitness Lumbar Support Relaxation Spine Pain Relief,590,274,54,Silver Dazzle,9,74,0,95,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Gym Exercise Yoga Mat 6mm,606,606,0,Prime Collection 1662115126,64,85,0,68,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,ইয়োগা এবং এক্সারসাইজ মাদুর,1250,658,47,JJ FITNESS & SPORTS,6,85,0,85,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,6mm Eco Friendly Anti-Slip Exercise Yoga Mat- Random Color,999,545,45,Glory Tech,4,84,0,97,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,MeterMall Yoga Fitness Resistance Band Heavy Duty Exercise Elastic Band Fitness Equipment For Sport Strength Pull Up,290,191,34,MeterMall,2,72,100,66,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,8mm Non-slip Yoga Mat -(RANDOM COLOR),1250,737,41,A SELL BD,47,85,0,99,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,8mm Yoga Mat Non Slip Exercise & Fitness Mat All Types Yoga Pilates & Floor Exercises,1350,940,30,New Champion Sports.,119,87,0,92,Free Delivery,Cash on Delivery Available,Yes
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Foam Yoga Mat-8mm Thick 6 Feet/2 Feet (Multicolor),1250,720,42,Glory Tech,11,84,0,97,Standard Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,"Heming Weigh Extra Thick High Density Exercise Yoga Mat with Carrying Strap for Exercise, Yoga and Pilates",1599,747,53,Nora Express,0,79,0,100,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Adjustable Shoulder Support Brace for Effective Back Pain Relief - Ergonomic Posture Corrector Belt with Customizable Support,490,179,63,TRENDIFY,0,0,0,100,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,Fitness Ankle Strap Foot Support Ankle Protector Gym Sport Training Equipment,441,276,37,Jetting,4,84,100,99,Free Delivery,Cash on Delivery Available,No
Sports & Outdoors,https://www.daraz.com.bd/exercise-fitness/,"Motorized T600C Black Treadmill with Body Massager, Dumbbell Set",45000,38609,14,Sports Vision,4,70,0,92,Free Delivery,Cash on Delivery Available,Yes
