Category,SubCategory Name,SubCategory Link
Women's & Girls' Fashion,Traditional Clothing,https://www.daraz.com.bd/womens-traditional-clothing/
Women's & Girls' Fashion,Muslim Wear,https://www.daraz.com.bd/womens-abayas-and-hijabs/?price=200-&from=filter
Women's & Girls' Fashion,Clothing,https://www.daraz.com.bd/womens-clothing/?service=OS
Women's & Girls' Fashion,"Lingerie, Sleep & Lounge",https://www.daraz.com.bd/womens-lingerie-sleepwear/?&price=499-&service=OS&from=filter
Women's & Girls' Fashion,Shoes,https://www.daraz.com.bd/womens-shoes/?price=500-&from=filter
Women's & Girls' Fashion,Women Bags,https://www.daraz.com.bd/womens-bags/?&price=699-&service=OS&from=filter
Women's & Girls' Fashion,Branded Ladies/Girl's Watches Collection Online,https://www.daraz.com.bd/womens-watches/?&price=499-&service=OS&from=filter
Health & Beauty,Skin Care,https://www.daraz.com.bd/skincare-beauty/?service=OS&from=filter
Health & Beauty,Hair Care,https://www.daraz.com.bd/hair-care-beauty/?service=OS&from=filter
Health & Beauty,Makeup,https://www.daraz.com.bd/womens-make-up/?service=OS&from=filter
Health & Beauty,Fragrances,https://www.daraz.com.bd/fragrances/?service=OS&from=filter
Health & Beauty,Beauty Tools,https://www.daraz.com.bd/health-beauty-tools/?service=OS&from=filter
Health & Beauty,Bath & Body,https://www.daraz.com.bd/bath-body/?service=OS&from=filter
Health & Beauty,Personal Care Products,https://www.daraz.com.bd/personal-care/?service=OS&from=filter
Health & Beauty,Mens Grooming Products,https://www.daraz.com.bd/mens-grooming/?service=OS&from=filter
Health & Beauty,Sexual Wellness,https://www.daraz.com.bd/sexual-wellness/?service=OS
"Watches, Bags, Jewellery",Kids Bags,https://www.daraz.com.bd/school-bags/
"Watches, Bags, Jewellery",Laptop Bags & Cases,https://www.daraz.com.bd/laptop-bag/
"Watches, Bags, Jewellery",Quality Travel Bag at Best Deals,https://www.daraz.com.bd/bags-luggage/
"Watches, Bags, Jewellery",Largest Collection of Travel Bags and Accessories,https://www.daraz.com.bd/travels/
"Watches, Bags, Jewellery",Shop Men's Bags Online in Bangladesh - Up to 60% Off - Daraz.bd,https://www.daraz.com.bd/mens-bags/
"Watches, Bags, Jewellery",Women Bags,https://www.daraz.com.bd/womens-bags/
"Watches, Bags, Jewellery",Men,https://www.daraz.com.bd/mens-watches/
"Watches, Bags, Jewellery",Branded Ladies/Girl's Watches Collection Online,https://www.daraz.com.bd/womens-watches/
"Watches, Bags, Jewellery",Kids,https://www.daraz.com.bd/kids-watches-wsj/
"Watches, Bags, Jewellery",Women,https://www.daraz.com.bd/shop-womens-jewellery/
"Watches, Bags, Jewellery",Men's Jewelry Store,https://www.daraz.com.bd/mens-jewellery/
"Watches, Bags, Jewellery",Sunglasses Online Shop,https://www.daraz.com.bd/sunglasses/
Men's & Boys' Fashion,Clothing,https://www.daraz.com.bd/mens-clothing/
Men's & Boys' Fashion,Shoes,https://www.daraz.com.bd/mens-shoes/
Men's & Boys' Fashion,Muslim Wear,https://www.daraz.com.bd/men-muslim-wear/
Men's & Boys' Fashion,Accessories,https://www.daraz.com.bd/men-accessories/
