Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Number of Ratings,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store
"Watches, Bags, Jewellery",https://www.daraz.com.bd/school-bags/,Animal Prints Cotton Canvas Children Bags Backpack Lash Messenger Bags Backpack Cartoon School,550,255,54,Twenty Twenty,342,85,0,98,Standard Delivery,Cash on Delivery Available,No
"Watches, Bags, Jewellery",https://www.daraz.com.bd/school-bags/,School Bags For Girls Big Capacity Backpack Shouler Bags Anti Theft Waterproof Daily Travel Back Pack Ladies Bagpack School Bag,1650,725,56,AYSHA TRADERS,31,86,0,93,Free Delivery,Cash on Delivery Available,No
"Watches, Bags, Jewellery",https://www.daraz.com.bd/school-bags/,Nylon Animal Children Backpacks Kids Preschool Bags Cartoon Panda Book Bags for Baby Girl Boy Anti Lost Backpack for Kids,350,195,44,Shah Wholesale Fashion,13,77,0,57,Free Delivery,Cash on Delivery Available,No
"Watches, Bags, Jewellery",https://www.daraz.com.bd/school-bags/,Backpacks for kids in kindergarten Cute baby bags for boys and girls Cute animal school bags for kids in kindergarten,1200,749,38,Ghoredokanbd,23,93,0,100,Standard Delivery,Cash on Delivery Available,No
"Watches, Bags, Jewellery",https://www.daraz.com.bd/school-bags/,kids bag toddler backpack with leash messenger bag kids kids cartoon backpack cartoon school backpack,350,286,18,Darun Online Shop,3,90,0,100,Free Delivery,Cash on Delivery Available,No
"Watches, Bags, Jewellery",https://www.daraz.com.bd/school-bags/,Nylon Animal Children Backpacks Kids Preschool Bags Cartoon Panda Book Bags for Baby Girl Boy Anti Lost Backpack for Kids,400,196,51,AK Mart,4,85,0,87,Standard Delivery,Cash on Delivery Available,No
"Watches, Bags, Jewellery",https://www.daraz.com.bd/school-bags/,"8x9 Inches Mini Girls Cartoon Mini Backpack, Preschool Baby Bag, Travel Bag, Birth day gift bag",350,350,0,FlickMart BD,1,93,0,96,Standard Delivery,Cash on Delivery Available,No
"Watches, Bags, Jewellery",https://www.daraz.com.bd/school-bags/,Nylon Animal Children Backpacks Kids Preschool Bags Cartoon Panda Book Bags for Baby Girl Boy Anti Lost Backpack for Kids,350,209,40,Gadget Collection,24,82,0,83,Free Delivery,Cash on Delivery Available,No
"Watches, Bags, Jewellery",https://www.daraz.com.bd/school-bags/,kids backpack children's kindergarten cute backpack cartoon frog anti lost backpack,500,227,55,Taqwa Fashion Bd,12,85,0,100,Free Delivery,Cash on Delivery Available,No
"Watches, Bags, Jewellery",https://www.daraz.com.bd/school-bags/,"8x9 Inches Red Mini Girls Cartoon Mini Backpack, Preschool Baby Bag, Travel Bag, Birth day gift bag",350,350,0,FlickMart BD,3,93,0,96,Standard Delivery,Cash on Delivery Available,No
"Watches, Bags, Jewellery",https://www.daraz.com.bd/school-bags/,Girls School Bags Big Capacity Backpack Shouler Bags Anti Theft Waterproof Daily Travel Back Pack Ladies Bagpack School Bag,1500,760,49,Matching Point,2,92,0,80,Free Delivery,Cash on Delivery Available,No
