Category,SubCategory,Title,Original Price,Discount Price,Discount,Seller Name,Number of Ratings,Positive Seller Ratings,Ship On Time,Chat Response Rate,Delivery Type,Cash On Delivery,Flagship Store
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Fashionable Tangail tat Half Silk Flat Color Chumki Saree for Women,1700,247,85,LAL SAREE,437,74,0,96,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Tangail halfsilk muslin than saree for women (all colour),1000,241,76,Ashraf Fashion (TAN),1142,88,0,95,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Unstitched Cotton Screen Printed Salwar Kameez For Women 3 Pice Dress,1099,447,59,Niluma Fashion,274,84,0,99,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Saree combopack Woman,1450,643,56,##xliV2JA7$$,455,87,0,98,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,"Tangail Halfsilk Chumki Saree for Women in All Colors. (Please Inbox Me for Any Color) - Stylish, Fashionable, and Unique Ethnic Dress",2650,244,91,T-Fashion (TAN),245,88,0,96,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,New Collection Pakistani Laser cut Shalwar Kameez for women,429,371,14,Sarif Collection,441,82,0,100,Free Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Unstitched Cotton Screen Printed Shalwar Kameez For Women 3 Piece Dress,999,450,55,Jannat Boutiques,456,85,0,100,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Japani Silk Saree for Women - Sari - শাড়ি,1599,327,80,Babu Fashion BD,303,80,0,100,Free Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Fish Cut Saree Shapewear Petticoat for Women.,380,151,60,Madina Shopping Centre LLC,237,88,0,99,Free Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Stylish And Fashionable Women Kurtis Readymade Women Kurtis new Stylish Printed Women Kurtis One Pieces,400,267,33,NHB SHOP,196,84,0,99,Free Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,মেয়েদের জন্য শাড়ীর সাথে পরার জন্য আকর্ষণীয় শেপওয়ার ফিশকাত পেটিকোট।।,165,160,3,Utsob fashion & Rumaisha fashion,351,84,0,75,Free Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Tangail Half Silk Saree for Women - Handwoven Sari,2100,202,90,Ashraf Fashion (TAN),222,88,0,95,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Japani Soft Silk Sharee For Women - Sari - Saree - শাড়ি - শাড়ি,1699,340,80,STYLE BEAUTY,258,87,0,99,Free Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Tangail Halfsilk Chumki Saree For Woman - Indulge In Traditional Elegance With This Tangail Halfsilk Chumki Saree Designed For Women,1000,246,75,Fantasy Saree (TAN),53,0,0,97,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,New Readymade Kurtis Stylish Hot Kurtis For Women Long Linen Kurtis One Piece - Dress For Girls - 1 Pice Dress,350,248,29,NHB SHOP,103,84,0,99,Free Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Red & Golden Combnation 12 Hand Halfsilk Saree for Women - Sari,2000,189,91,Naz Gallery (TAN),175,85,0,92,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Black Half Silk Tangail Tat Saree Without Blouse Piece For Women - Sari,2009,174,91,Ashraf Fashion (TAN),214,88,0,95,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,New exclusive designed Linen Screen Print Poppon 3piece For Stylish Women,1399,479,66,Laam Boutiques,283,82,0,100,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Indispensable -Quality And Durablity -Half silk afsan print saree for women Tangail Saree- Innovative Preferble - Low Hassle and Maintanance,650,490,25,RajLaxmi (TAN),141,82,0,98,Free Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Cotton Sharee Shapewear Fish cut Petticoat Best Qualityfull Good Stitching for woman,380,160,58,K. M. ORNA HOUSE,171,87,0,99,Free Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Indian New Stylish Exclushive Collection Weatless Goergett Computer Ambroydary Work Three Piece Salower Kameez For Women,500,480,4,JK store.,78,74,0,98,Free Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Exclusive Design Tangail Skin Print Saree Without Blouse PieceForWomen,1550,509,67,Jahangir Textile (TAN),60,92,0,70,Free Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Fashionable Halfsilk Chumki Saree for Womens-All color - Sari,2590,244,91,Ashraf Fashion (TAN),302,88,0,95,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,merun color tangail half silk Nokshi paire Saree for Women by tangail sharee shopping,1700,520,69,Tangail Sharee Shopping (TAN),79,87,0,94,Free Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Blue color tangail half silk Nokshi Saree for Women by tangail sharee shopping,1750,500,71,Tangail Sharee Shopping (TAN),44,87,0,94,Free Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,"Ready to Wear Stylish, Luxurious and Comfortable Linen Kurti for Women",350,247,29,NHB SHOP,518,84,0,99,Free Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,New Exclushive Collection 100% High Qualitiey Deshi Tat Three Piece [3pc] dress For Women,1400,324,77,Kolpona shpe,151,78,0,99,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Unstitched Cotton Screen Printed Salwar Kameez For Women - 3 Pice Dress,1399,437,69,Rong Tuli Shop,290,84,0,100,Free Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Fashionable Halfsilk Cutwork Saree For Women (All Colour),1550,545,65,Aboni Shareez,80,90,0,99,Free Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Soft silk Saree For Women Without Blouse Pieces -Japani Silk Saree,1430,586,59,Sharee Choice B.D,80,0,0,98,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Premium Quality - Multi Colour new Trendz Fashionable readymade shalwar kameez 3 pice dress for girls - Trend and Need full,1590,480,70,FASHION HUB.,25,78,0,99,Free Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Joypuri Cotton Three-Piece Salwar Kameez for Women - Unstitched Ethnic Dress,750,528,30,Anisha Fashion Gallery,705,85,0,93,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,New Exclusive Designed High Quality Chunri Screen Print Gown 1 Piece Long Kurti For Stylish Women / Girls - Tops For Girls,999,293,71,Famous Fashion,31,78,0,60,Free Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Tangail halfsilk plus plus saree for woman,1200,328,73,Ashraf Fashion (TAN),525,88,0,95,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Soft Silk Strawberry Katan Saree For Women Without Blouse Pieces -Japani Silk Saree,1850,577,69,Sharee Choice B.D,61,0,0,98,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,New Exclusive designed 1piece long koti long koti For Stylish Women Girls,999,402,60,Unique Fashion(RH),39,81,0,100,Free Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Exclusive Afghan Stitch and Screen Print Sarees for Women - Ethnic and Stylish,700,543,22,Aksha Fashion Zone,173,82,0,84,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,New Pakistane Exclushive Collection High Qualitiey Digital Print Unstitched Salwar Kameez Cotton 3 Piece for women,1550,369,76,Shijan Garments,39,0,0,92,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Black and White Cotton Dhupian Check Sari (Tangaili Dhupian Sari),1200,234,80,Tusar Fashion (TAN),1013,90,0,96,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,New Exclushive Collection High Qualitiey Cotton Printed Three Piece For Women - 3 Pice Dress - Dress For Girls - 3 Pice Dress,1600,543,66,JK store.,29,74,0,98,Free Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,"Exclusive Design Tat Made Katan Saree for Women- Trendy Comfortable,Simple To Use And Maintain - Top Quality",2000,635,68,Tati Hut (TAN),23,0,0,96,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Red Color Traditional Jamdani Saree For Women,1300,470,64,u9qYAM3h,72,91,0,50,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Exclusive Tangail Multi Color Half Silk Chumki Exclusive High Quality Comfortable Saree Without Blouse Piece For Women - A Versatile Addition,1200,287,76,Online Saree Bazar,183,88,0,0,Free Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Fashionable Trendy Exclusive Half Silk Chumki Saree/sari/sharee/shari/sarii for Women,1000,320,68,Girls Fashion (TAN),44,91,0,96,Free Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Exclusive Design Half Silk Tangail Tat Flat Color Chumki Saree For Women By Dream Treasure(Tan) - Sari - শাড়ি - Saree For Women,2550,256,90,Dream Treasure,64,91,0,100,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,tangail halfsilk golden saree for woman all colour,1400,169,88,Naz Gallery (TAN),123,85,0,92,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Attractive shapewear fishcut petticoat for girls to wear with sarees by TopsCorner,299,164,45,Tops Corner,25,75,0,96,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Fashionable Tangail Tat Trendy Afsan Print Suti / Cotton Saree for Women,2000,500,75,Toa Fashion House (TAN),38,0,0,100,Standard Delivery,Cash on Delivery Available,No
Women's & Girls' Fashion,https://www.daraz.com.bd/womens-traditional-clothing/,Petticoat for women Sharee Shapewear,350,156,55,STAR 24 BD,15,79,0,96,Free Delivery,Cash on Delivery Available,No
